field	filter	public_value	code	swedish	english	synonyms	comments	edmo	source
laboratory		AB Svensk Laboratoriet	SLKS	AB Svensk Laboratoriet	AB Svensk Laboratoriet				translate_LABO
laboratory		ABB	ABB	ABB	ABB				translate_LABO
laboratory		Airicole AB	AIRI	Airicole AB	Airicole AB				translate_LABO
laboratory		Akvaplan-NIVA A/S	APNN	Akvaplan-NIVA A/S	Akvaplan NIVA group				translate_LABO
laboratory		Alcontrol AB	ALCON	Alcontrol AB	Alcontrol laboratories	ALcontrol Söderhamn<or>ALcontrol Uddevalla<or>Alcontrol AB Umeå Sweden<or>Alcontrol<or>Alcontrol AB Linköping Sweden Alcontrol AB Sweden<or>ALCON<or>ALcontrol AB<or>ALUS<or>ALSH<or>ALLS<or>		3983.0	translate_LABO
laboratory		Alleco Oy	ALLECO	Alleco Oy	ALLECO Oy (Finland)				translate_LABO
laboratory		ALS Scandinavia	ALSSCA	ALS Scandinavia	ALS Scandinavia			3982.0	translate_LABO
laboratory		Analycen AB	ANALYC	Analycen AB	Analycen AB	Analycen Göteborg<or>Analycen Lidköping		4446.0	translate_LABO
laboratory		ANSAB	ANBF	ANSAB	ANSAB				translate_LABO
laboratory		Aquaanalys	AQUAAN	Aquaanalys	Aquaanalys				translate_LABO
laboratory		AquaBiota	AQBI	AquaBiota	AquaBiota Water Research				translate_LABO
laboratory		Aquatic Systems Group	ASUK	Aquatic Systems Group	Aquatic Systems Group				translate_LABO
laboratory		Artdatabanken	ADB	Artdatabanken	Swedish Species Information Centre				translate_LABO
laboratory		BalticSea2020	BALSEA2020	BalticSea2020	BalticSea2020	Baltic Sea 2020 Kungliga vetenskapsakademien		4782.0	translate_LABO
laboratory		Barsebäck Kraft AB	BARSE	Barsebäck Kraft AB	Barsebäck Kraft AB				translate_LABO
laboratory		BillerudKorsnäs Karlsborg	BILKBG	BillerudKorsnäs Karlsborg	BillerudKorsnas Karlsborg	Billerud Kosrsnäs Karlsborg AB<or>Billerud Korsnäs Karlsborg AB<or>BillerudKorsnäs Karlsborgsverken<or>Billerud Karlsborg AB<or>BillerudKorsnäs AB		4915.0	translate_LABO
laboratory		Blekingekustens vattenvårdsförbund	BKVF	Blekingekustens vattenvårdsförbund	Blekingekusten Coalition of Water Conservation	Blekingekustens VVF<or>Blekingekustens Vattenvårdsförbund<or>Blekingekustens vvf<or>Blekinge kustvatten- och luftvårdsförbund<or>Blekinge Kustvatten och Luftvårdsförbund		4780.0	translate_LABO
laboratory		Bohuskustens vattenvårdsförbund	BVVF	Bohuskustens vattenvårdsförbund	Bohuskusten Coalition of Water Conservation	Bohuskustens Vattenvårdsförbund<or>Bohuskustens vattenvårds förbund<or>Västkusten vattenvårds förbund<or>Bohusläns vattenvårdsförbund<or>BOS<or>REG Bohuskustens KKP SRK		4777.0	translate_LABO
laboratory		Boliden Group	BOLIDEN	Boliden Group	Boliden Group	Boliden<or>Boliden Mineral<or>Boliden Mineral AB			translate_LABO
laboratory		BONUS EU-projekt	BON	BONUS EU-projekt	BONUS EU-project				translate_LABO
laboratory		Borgholms kommun	BHMKOM	Borgholms kommun	Borgholm Municipality				translate_LABO
laboratory		Calluna AB	CALLUN	Calluna AB	Calluna AB	CALLUNA AB<or>Calluna<or>CALLUNA		4619.0	translate_LABO
laboratory		Castor & Pollux	CASPOL	Castor & Pollux	Castor & Pollux				translate_LABO
laboratory		Dalälvens vattenvårdsförbund	DVVF	Dalälvens vattenvårdsförbund	Dalälven Coalition of Water Conservation			4861.0	translate_LABO
laboratory		Danish Centre for Environment and Energy	DMU	Danish Centre for Environment and Energy	Danish Centre for Environment and Energy	Danmarks Miljøundersøgelser			translate_LABO
laboratory		Dannes Firma	DANNF	Dannes Firma	Dannes Firma	Dannes Firma (Dan Evander)<or>Dannes firma (Dan Evander)			translate_LABO
laboratory		Danska Hydrauliska Institutet	DHI	Danska Hydrauliska Institutet	Danish hydraulic institute	VKID<or>DHI Water and Environment			translate_LABO
laboratory		Domsjö fabriker AB	DOMFAB	Domsjö fabriker AB	Domsjö fabriker AB	Domsjö fabriker			translate_LABO
laboratory		Edsviken vattensamverkan	EDSVVS	Edsviken vattensamverkan	Edsviken watercollaboration	EDVIK		4786.0	translate_LABO
laboratory		Ekologigruppen AB	EKOGRP	Ekologigruppen AB	Ekologigruppen AB				translate_LABO
laboratory		Envix Nord AB	ENVIX	Envix Nord AB	Envix Nord AB				translate_LABO
laboratory		Estlands Marina Institut	IMRE	Estlands Marina Institut	Estonian Marine Institute				translate_LABO
laboratory		EU-kommissionen Horizon 2020	EUKOM	EU-kommissionen Horizon 2020	European Commission Horizon 2020				translate_LABO
laboratory		Eurofins Ahma Rovaniemi	EFAR	Eurofins Ahma Rovaniemi	Eurofins Ahma Rovaniemi				translate_LABO
laboratory		Eurofins Danmark A/S	EFDK	Eurofins Danmark A/S	Eurofins Denmark A/S	Eurofins Danmark A/S Albertslund			translate_LABO
laboratory		Eurofins Environment Sweden AB	EFSW	Eurofins Environment Sweden AB	Eurofins Environment Sweden AB	Eurofins Lidköping<or>Eurofins Stockholm<or>EULD<or>EUSHOLM<or>Eurofins		5633.0	translate_LABO
laboratory		Eurofins-Pelagia	EUPE	Eurofins-Pelagia	Eurofins-Pelagia				translate_LABO
laboratory		Europeiska havs- och fiskerifonden	EHFF	Europeiska havs- och fiskerifonden	European Maritime and Fisheries Fund				translate_LABO
laboratory		Europeiska kommisionen LIFE programmet	LIFE	Europeiska kommisionen LIFE programmet	European comission LIFE programme	EU-kommissionen			translate_LABO
laboratory		Falma Provtagning	FALMA	Falma Provtagning	Falma Sampling				translate_LABO
laboratory		Finlands miljöcentral	SYKE	Finlands miljöcentral	Finnish Environment Institute	Finska Miljöinstitutet<or>FEIF		1104.0	translate_LABO
laboratory		Fiskeriverket	FIV	Fiskeriverket	Swedish National Board of Fisheries	National Board of Fisheries<or>HRFS Swedish National Board of Fisheries<or>IMRS<or>Fiskeriverket Sverige		1354.0	translate_LABO
laboratory		Fiskeriverket Havsfiskelaboratoriet	FIVHL	Fiskeriverket Havsfiskelaboratoriet	Swedish National Board of Fisheries				translate_LABO
laboratory		Fiskeriverket Kustfiskelaboratoriet	FIVKL	Fiskeriverket Kustfiskelaboratoriet	Swedish National Board of Fisheries			180.0	translate_LABO
laboratory		FITO-Lab	SFIP	FITO-Lab	FITO-Lab	FOLB<or>FITO			translate_LABO
laboratory		FORMAS	FORMAS	FORMAS	FORMAS				translate_LABO
laboratory		Forsmarks kraftgrupp AB	FORS	Forsmarks kraftgrupp AB	Forsmarks kraftgrupp AB				translate_LABO
laboratory		Föreningen Nenningesund	NENNINGE	Föreningen Nenningesund	Nenningesund association			5000.0	translate_LABO
laboratory		Gryaab AB	GRYAAB	Gryaab AB	Gryaab AB				translate_LABO
laboratory		Gästrike Vatten AB	GASTVAAB	Gästrike Vatten AB	Gästrike Vatten AB				translate_LABO
laboratory		Gästriklands vattenvårdsförbund	GVVF	Gästriklands vattenvårdsförbund	Gästrikland Coalition of Water Conservation	Gästriklands vattenvårdsförening		4866.0	translate_LABO
laboratory		Göteborgs Stad	GBGKOM	Göteborgs Stad	Gothenburg Municipality	Göteborg kommun<or>Göteborgs kommun<or>Göteborgs stad miljöförvaltningen			translate_LABO
laboratory		Göteborgs universitet	GU	Göteborgs universitet	University of Gothenburg	IAMK<or>Göteborg Universitet<or>Göteborg University Maringeologiska institutet<or>GUMI		3984.0	translate_LABO
laboratory		Hafok AB	HAFOK	Hafok AB	Hafok AB	hafok<or>Hafok			translate_LABO
laboratory		Halmstad hamn AB	HALHAM	Halmstad hamn AB	Halmstad hamn AB	Halmnstad hamn AB<or>Halmstad hamn			translate_LABO
laboratory		Haninge kommun	HANKOM	Haninge kommun	Haninge Municipality			4785.0	translate_LABO
laboratory		Havs- och vattenmyndigheten	HAV	Havs- och vattenmyndigheten	Swedish Agency for Marine and Water Management	Havs och vattenmyndigheten<or>Havs och Vattenmyndigheten<or>Havs- och Vattenmyndigheten<or>havs och Vattenmyndigheten<or>HaV<or> Hav_extra<or> Hav- och vattenmyndigheten<or>SWAM<or>Hav och Vattenmyndigheten<or>SAMWM<or>Hav		3512.0	translate_LABO
laboratory		Havsforskningsinstitutet Finland	IMRF	Havsforskningsinstitutet Finland	Finnish Institute of Marine Research	Finska institutet för Marina vetenskaper			translate_LABO
laboratory		Helsingsborgs miljöförvaltning	HBGMILJO	Helsingsborgs miljöförvaltning	Helsingborg environmental management	Helsingsborg miljökontor<or>Helsingborgs miljöförvaltning<or>Miljönämnden i Helsingborg			translate_LABO
laboratory		Hillevik marina fältstation	HILMAR	Hillevik marina fältstation	Hillevik Marine Field Station	Hillevik Marina Fältstation			translate_LABO
laboratory		Holmen Paper	HOLMPAP	Holmen Paper	Holmen Paper	Holmen Paper AB Hallsta Pappersbruk<or>Holmen Paper AB		4916.0	translate_LABO
laboratory		Hushållningssällskapet	HUSH	Hushållningssällskapet	Swedish Rural Economy and Agricultural Societies 	Hushållningssällskapet Rådgivning Nord<or> HUSHRN		5735.0	translate_LABO
laboratory		Hydroconsult AB	HYDCON	Hydroconsult AB	Hydroconsult AB				translate_LABO
laboratory		HydroGIS AB	HYD	HydroGIS AB	HydroGIS AB			4623.0	translate_LABO
laboratory		Höga kusten Limnologkonsult	HKLIM	Höga kusten Limnologkonsult	High coast Limnologist consultant				translate_LABO
laboratory		Höganäs kommun	HOGKOM	Höganäs kommun	Höganäs Municipality				translate_LABO
laboratory		Intresseföreningen för Nordöstra Hälsinglands SRK	IFNHR	Intresseföreningen för Nordöstra Hälsinglands SRK	Committee of North Eastern Hälsingland Coordinated Recipient Monitoring	Intresseföreningen för Nord Östra Hälsinglands samordnade recipientkontroll<or>Gruppen för samordnad recipientkontroll i NÖ Hälsingland<or>Intresseföreningen för Nordöstra Hälsinglands samordnade recipientkontroll		4789.0	translate_LABO
laboratory		IVL Svenska Miljöinstitutet 	SERI	IVL Svenska Miljöinstitutet 	Swedish Environmental Research Institute	Swedish Environmental Research Institute		625.0	translate_LABO
laboratory		JP Aquakonsult KB	JPAQUA	JP Aquakonsult KB	JP Aquakonsult KB				translate_LABO
laboratory		JP Sedimentkonsult HB	JPSED	JP Sedimentkonsult HB	JP Sedimentkonsult HB				translate_LABO
laboratory		Kalix kommun	KLXKOM	Kalix kommun	Kalix Municipality				translate_LABO
laboratory		Kalmar kommun	KALKOM	Kalmar kommun	Kalmar Municipality				translate_LABO
laboratory		Kalmar läns kustvattenkommitté	KLKK	Kalmar läns kustvattenkommitté	Coastal Committee of Kalmar County	Kalmar läns kustvattenkommitte<or>Kalmar Läns kustvattenkommitté		4779.0	translate_LABO
laboratory		Kalvö Ostron	KALOS	Kalvö Ostron	Kalvö Oyster				translate_LABO
laboratory		Karlshamns hamn AB	KARHAM	Karlshamns hamn AB	Karlshamns Port AB				translate_LABO
laboratory		Karlskrona kommun	KARKOM	Karlskrona kommun	Karlskrona Municipality				translate_LABO
laboratory		Kiviks Musteri	KIVI	Kiviks Musteri	Kiviks Musteri				translate_LABO
laboratory		KM Lab AB	KMLB	KM Lab AB	KM Lab AB				translate_LABO
laboratory		Kolmården	KOLM	Kolmården	Kolmården				translate_LABO
laboratory		Kristianstads kommun	KRIKOM	Kristianstads kommun	Kristianstads Municipality	Kristianstad kommun			translate_LABO
laboratory		Kristineberg marina forskningsstation	KMRS	Kristineberg marina forskningsstation	Kristineberg marine research station				translate_LABO
laboratory		Kungliga Vetenskapsakademin	KVA	Kungliga Vetenskapsakademin	The Royal Swedish Academy of Sciense	Kungliga vetenskapsakademien		4782.0	translate_LABO
laboratory		Kungsbacka kommun	KUNGKOM	Kungsbacka kommun	Kungsbacka Municipality				translate_LABO
laboratory		Kustfilm Nord AB	KUFI	Kustfilm Nord AB	Kustfilm Nord AB				translate_LABO
laboratory		Lapland Regional Environment Centre	LAPF	Lapland Regional Environment Centre	Lapland Regional Environment Centre				translate_LABO
laboratory		LeCa Marin	LECA	LeCa Marin	LeCa Marin				translate_LABO
laboratory		Lidingö Stad	LIDINGO	Lidingö Stad	Lidingö Municipality	Lidingö stad Miljö- och stadsbyggnadskontoret			translate_LABO
laboratory		Linnéuniversitetet	LNU	Linnéuniversitetet	Linnaeus University	Linneuniversitetet<or>UCKS<or>Kalmar Universitet		4812.0	translate_LABO
