field	filter	public_value	code	swedish	english	synonyms	comments	source
#parameter		ABUND	ABUND	Förekomst (dvs. antal per område)	Abundance (i.e. numbers per area)			translate_PARAM
#parameter		AL	AL	Aluminium	Aluminium			translate_PARAM
#parameter		ALKY	ALKY	Total alkalinitet	Total alkalinity			translate_PARAM
#parameter		AMON	AMON	Ammonium (NH4-N)	Ammonium (NH4-N)			translate_PARAM
#parameter		BMAFDWT	BMAFDWT	Biomassa - askfri torrvikt	Biomass - ash free dry weight			translate_PARAM
#parameter		BMCCONT	BMCCONT	Biomassa - kolinnehåll	Biomass - carbon content			translate_PARAM
#parameter		BMCEVOL	BMCEVOL	Biomassa - cellvolym (um3)	Biomass - cell volume (um3)			translate_PARAM
#parameter		CDOM	CDOM	Färgat upplöst organiskt material	Colored dissolved organic matter			translate_PARAM
#parameter		CHLA_MGM3	CHLA_MGM3	Klorofyll a koncentration (mg/m3 = ug/l)	Chlorophyll a concentration (mg/m3 = ug/l)			translate_PARAM
#parameter		CINOR	CINOR	oorganiskt kol	Inorganic carbon			translate_PARAM
#parameter		CNDC_25	CNDC_25	Konduktivitet_25-(vattenhämtare) vid 25 °C	Electrical conductivity at 25 °C			translate_PARAM
#parameter		CNDC_CTD	CNDC_CTD	Konduktivitet-CTD	Conductivity-CTD			translate_PARAM
#parameter		CONC	CONC	Koncentration	Concentration			translate_PARAM
#parameter		CORG	CORG	Organiskt kol	Organic carbon			translate_PARAM
#parameter		COUNTNR	COUNTNR	Förekomstnummer (antal räknade)	Abundance number (number counted)			translate_PARAM
#parameter		COVER_AREA	COVER_AREA	Täckyta (m2)	Cover area (m2)			translate_PARAM
#parameter		CPHL	CPHL	Klorofyll-a	Chlorophyll-a			translate_PARAM
#parameter		CPHLC	CPHLC	Klorofyll-a (SCOR/UNESCO-metod)	Chlorophyll-a (SCOR/UNESCO method)			translate_PARAM
#parameter		CPHLL	CPHLL	Klorofyll-a(Lorenz-metod)	Chlorophyll-a (Lorenz method)			translate_PARAM
#parameter		CTOT	CTOT	Totalt kol	Total carbon			translate_PARAM
#parameter		CURVEL	CURVEL	Strömhastighet 	Current velocity			translate_PARAM
#parameter		DEPH	DEPH	Djup (provtagning)	Depth (of sampling)			translate_PARAM
#parameter		DEPOS_AREA	DEPOS_AREA	Område täckt med deponerat material (m2)	Area covered with deposited material (m2)			translate_PARAM
#parameter		DISPT	DISPT	Avstånd från punktkällan (MATRX=SI)	Distance from point source (MATRX=SI)			translate_PARAM
