field	filter	public_value	code	swedish	english	synonyms	comments	source
sample_project_code		HIST Bornö hängbro	BNO	HIST Bornö hängbro	Bornö bridge sampling 	BORNÖ<or>HIST_Bornö_hängbro		translate_PROJ
sample_project_code		HIST Fyrskepp	FYR	HIST Fyrskepp	Lightship	HIST_Fyrskepp		translate_PROJ
sample_project_code		HIST Havsfiskelaboratoriet Lysekil	LYS	HIST Havsfiskelaboratoriet Lysekil	Marine fisheries laboratory in Lysekil	HIST_Havsfiskelaboratoriet_Lysekil		translate_PROJ
sample_project_code		NAT Algövervakning	ALG	NAT Algövervakning	NAT Algae monitoring			translate_PROJ
sample_project_code		NAT Artikel_8	AR8	NAT Artikel_8	NAT Article_8			translate_PROJ
sample_project_code		NAT Atlant-Skandinavisk Sill	ASH	NAT Atlant-Skandinavisk Sill	NAT Atlanto-Scandian Herring	ATL.-SCA. HERRING<or>PROJ_Atlanto_Scandian_Herring		translate_PROJ
sample_project_code		NAT Baltiska Internationella Akustiska Undersökningar BIAS	EKO	NAT Baltiska Internationella Akustiska Undersökningar BIAS	NAT Baltic International Acustic Survey (BIAS)	EKOINTEG.<or>PROJ_Baltic_International_Acoustic_Surveys_BIAS		translate_PROJ
sample_project_code		NAT Baltiska Internationella Trål Undersökning BITS	COD	NAT Baltiska Internationella Trål Undersökning BITS	NAT Baltic International Trawl Survey (BITS)	TORSKUNDERS.<or>PROJ_Baltic International_Trawl_Survey_BITS		translate_PROJ
sample_project_code		NAT Gavik KKP	GAV	NAT Gavik KKP	NAT Coordinated recipient monitoring of Gavik			translate_PROJ
sample_project_code		NAT GOV kalibrering Argos Ancylus	GOV	NAT GOV kalibrering Argos Ancylus	NAT GOV-calibration R/V Argos- R/V Ancylus	GOV-KALIBR. AR-NC<or>PROJ_GOV_kalibrering_Argos_Ancylus		translate_PROJ
sample_project_code		NAT Internationell bottentrålsundersökning IBTS	IBT	NAT Internationell bottentrålsundersökning IBTS	NAT International Bottom Trawl Survey (IBTS)	INT. BOTTOM TRAWL SURV.<or>PROJ_International_Bottom_Trawl_Survey_IBTS		translate_PROJ
sample_project_code		NAT Internationell undersökning av unga fiskar IYFS	IYF	NAT Internationell undersökning av unga fiskar IYFS	NAT International Young Fish Survey	INT. YOUNG FISH SURV.<or>IYF<or>PROJ_International_Young_Fish_Survey_IYFS		translate_PROJ
sample_project_code		NAT Nationell miljöövervakning	NAT	NAT Nationell miljöövervakning	National marine monitoring	"Nationella programmet Egentliga Östersjön<or>Nationella programmet Bottniska Viken från 2015<or>Nationella programmet Egentliga Östersjön<or>Nationell provtagning<or>MÖP<or>BALTIC MON. PROG.<or>MAKROF. MJUKB. BOTTN. VIK.<or>NATL. PROG. BOTTN. VIK. 1998<or>Nationella programmet Bottniska Viken från 1998<or>PELAG. KEMI+BIOL. BOTTN. VIK.<or>PELAG. KEMI+BIOL. BOTTN. VIK.<or>PELAG. KEMI+BIOL. EG. ÖSTERSJ.<or>MAKROF. MJUKB. EG. ÖSTERSJ.<or>PELAG EG ÖSTERSJ<or>PELAG. KEMI+BIOL. EG. ÖSJ.+VÄSTERHAV.<or>PELAG. KEMI+BIOL.EG.ÖSJ.+VÄSTERHAV<or>PELAG. KEMI+BIOL.EG.ÖSJ.+VÄSTERHAV.<or>GRÅSÄL<or>VEG.KLÄDDA BOTTNAR KATTEG.<or>SVENSKA KUSTBV.<or>NATL MARBIO MILJÖÖV<or>VEG.KLÄDDA BOTTNAR SKAGER.<or>SMHI BASVERK.<or>SÄL-PATOLOGI<or>VIKARE<or>MAKROF. MJUKB. VÄSTERHAV.<or>PELAG. KEMI+BIOL. VÄSTERHAV.<or>PELAG. KEMI+BIOL. VÄSTERHAVET<or>PELAG.KEMI+BIOL. VÄSTERHAVET<or>Nationellt och regionalt program Västerhavet från 2002<or>VEG.KLÄDDA BOTTNAR ÖSTERSJ.<or>GAVIK. KUSTK.PROG.<or>RÅNEÅF. KUSTK.PROG.<or>Nationell miljöövervakning<or>Baltic Monitoring Program<or>Baltic_Monitoring_Program<or>Baltic Monitoring Program, 1989<or>Nationella programmet Bottniska Viken från 2015<or>Nationella programmet Egentliga Östersjön, Utsjön 2007-<or> Nationell miljöövervakning -Kust och hav -Vegetationsklädda bottnar, trend- och områdesövervakning - Västerhavet-Kattegatt<or> Nationell miljöövervakning -Kust och hav -Vegetationsklädda bottnar - Västerhavet-Kattegatt<or> Nationell trendövervakning av vegetationsklädda bottnar i Blekinge<or> Nationell övervakning vid Askö<or>Nationell övervakning vid Gotland<or>NAT Nationell miljöövervakning, NAT Nationell miljöövervakning<or>NAT Nationell miljöövervakning, Utsjön 2007-<or>Nationell miljöövervakning -Kust och hav -Vegetationsklädda bottnar - Västerhavet-Kattegatt<or>Nationell miljöövervakning -Kust och hav -Vegetationsklädda bottnar, trend- och områdesövervakning - Västerhavet-Kattegatt<or>Nationell trendövervakning av vegetationsklädda bottnar i Blekinge<or>Nationell övervakning vid Askö<or>Nationell övervakning vid Gotland<or>Nationella programmet Bottniska Viken från 2015<or>Vikare<or>NAT Askö<or>Nationellt program Egentliga Östersjön, Utsjöområden, 2016-<or>Manetövervakning_Släggö_Gullmarsfjorden<or>NAT Manetövervakning<or>KNUBBSÄL<or>NAT Nationell miljöövervakning Knubbsäl<or> kNUBBSÄL<or>Askö, Nationell-Regional övervakning, 2007-<or>Nationella programmet Egentliga Östersjön, regional<or>Pelagial biologi Bottniska viken<or>NATL<or>Nationell marin miljöövervakning<or>a_Nationell miljöövervakning mjukbotten, 2016-<or>Regional och Nationell marin miljöövervakning i Västernorrlands län<or>Askö, Nationella programmet Egentliga Östersjön, intensiv Askö. 1971-2006<or>Nationella Baltic Monitoring Programme, BMP, 1979-2006<or>Nationella programmet Egentliga Östersjön, 1971/76-2006<or>Vikare <or>Gräsö-Singö, Mats Waerns lokaler<or>Nationellt program Egentliga Östersjön, Utsjöområden<or> Askö, Nationell-Regional övervakning<or> Samordnad regional och nationell miljöövervakning på västkusten<or>Nationell miljöövervakning på Västkusten<or>Nationell MÖ mjukbotten sydostsverige, 2016-<or>Pmk extra 2011<or>NAT Nationell övervakning vid Askö<or>NAT Nationell övervakning vid Gotland<or>Samordnad regional och nationell miljöövervakning på västkusten från 2017<or>Nationella programmet Bottniska Viken stationsurvalsundersökning 1995 - 1997<or>Nationella programmet Bottniska Viken, intensivprogram i Norrbyområdet fram till 1997<or>NAT Nationell miljöövervakning,<or>NATL Singö<or>NATL Askö - Mjukbotten
NATL Askö - Mjukbotten<or>NATL Askö"		translate_PROJ
sample_project_code		NAT Nationell marin kartering	NMK	NAT Nationell marin kartering	NAT National marine mapping			translate_PROJ
sample_project_code		NAT Nationell miljöövervakning extra provtagning	EXT	NAT Nationell miljöövervakning extra provtagning	National monitoring extra sampling	Nationell miljöövervakning extra provtagning		translate_PROJ
sample_project_code		NAT Oslo-Paris-kommissionen	OPC	NAT Oslo-Paris-kommissionen	NAT Oslo-Paris Commission			translate_PROJ
sample_project_code		NAT Nationell BasVerksamhet	BAS	NAT Nationell BasVerksamhet	NAT National Base Activity			translate_PROJ
sample_project_code		NAT SYKEs BasVerksamhet	SYK	NAT SYKEs BasVerksamhet	NAT SYKEs Base Activity			translate_PROJ
sample_project_code		NAT Östersjöns övervakningsprogram	BMP	NAT Östersjöns övervakningsprogram	NAT Baltic Monitoring Progr	Baltic Monitoring Program BMP Bottniska viken		translate_PROJ
sample_project_code		PROJ Alsbäck forskningsdata	ALF	PROJ Alsbäck forskningsdata	Research data from the Gullmars fjord,  Alsbäck	FORSKNING ALSBÄCK<or>PROJ_Alsbäck_forskningsdata		translate_PROJ
sample_project_code		PROJ Automatisk Kasun Boj	AUT	PROJ Automatisk Kasun Boj	Automatic Kasun/Buoy	AUTOM. KASUN/BOJ<or>PROJ_Automatisk_Kasun_Boj		translate_PROJ
sample_project_code		PROJ Östersjöns Öppet Hav Experiment	BEX	PROJ Östersjöns Öppet Hav Experiment	Baltic Open Sea Experiment	BALT O. SEA EXPMNT.<or>PROJ_Baltic_Open_Sea_Experiment 		translate_PROJ
sample_project_code		PROJ Bank kartering vindkraft	BNK	PROJ Bank kartering vindkraft	Survey of offshore bank, wind turbines.	KART. VINDK.<or>PROJ_Bank_kartering_vindkraft		translate_PROJ
sample_project_code		PROJ Basinventering	BAI	PROJ Basinventering	Base inventory	Basinventering av Fjärdlångs och Huvudskärs Natura 2000 områden<or>Basinventering av Natura 2000 områden i Västerbottens län<or>Basinventering av Sundby naturreservat<or><or>Basinventering i Stockholms län<or>Basinventering i Västernorrlands län<or>Basinventeringen i Kalmar Län<or>Basinventeringen i Östergötland <or>Marin basinventering 2007, Västernorrlands län<or>Södermanland naturvärdesinventering och basinventering<or>Marin basinventering i Skåne Län<or>Hjälmö-Lådna naturreservat, Stockholms län - basinventering<or>Hälsingeholmarna, Stockholms län: Basinventering.<or>Basinventering i Kalmar län		translate_PROJ
sample_project_code		PROJ Bottenhavet pelagisk verifikation	PBX	PROJ Bottenhavet pelagisk verifikation	Pelagic verification Bothnian Sea	PELAG. VERIF. BOTTENH.<or>Lst X<or>PROJ_Bottenhavet_pelagisk_verifikation<or>PROJ Bottenhavet Pelagisk verifikation		translate_PROJ
sample_project_code		PROJ Bottenviken pelagial mätkampanj	PBH	PROJ Bottenviken pelagial mätkampanj	Sampling campaign pelagic 2010  Bothnian Bay	MÄTKAMP. PELAG. 2010 BOTTENV.<or>Lst Norrland<or>PROJ_Bottenviken_pelagial_mätkampanj		translate_PROJ
sample_project_code		PROJ Bottenviken pelagisk verifikation	PBV	PROJ Bottenviken pelagisk verifikation	Pelagic verification Bothnian Bay	PELAG. VERIF. BOTTENV.<or>Lst X<or>PROJ_Bottenviken_pelagisk_verifikation		translate_PROJ
sample_project_code		PROJ Västernorrland mätkampanjen	PYM	PROJ Västernorrland mätkampanjen	Sampling campaign pelagic Västernorrland	Mätkampanjen i Västernorrland 2018<or>Mätkampanjen i Västernorrland 2015		translate_PROJ
sample_project_code		PROJ Bottniska viken året	BVO	PROJ Bottniska viken året	Gulf of Bothnia year (1991)	BOTTNV. ÅRET<or>PROJ_Bottniska_viken_året		translate_PROJ
sample_project_code		PROJ Bottniska viken överenskommelsen 	BVI	PROJ Bottniska viken överenskommelsen 	Gulf of Bothnia agreement 	BOTTNV. ÖVEREK.<or>PROJ_Bottniska_viken_överenskommelsen 		translate_PROJ
sample_project_code		PROJ Brofjorden	BRO	PROJ Brofjorden	The Brofjorden project 	BROFJ.PROJ.<or>PROJ_Brofjorden		translate_PROJ
sample_project_code		PROJ Byfjorden BOX	GUB	PROJ Byfjorden BOX	Byfjorden BOX-project	PROJ_Byfjorden_BOX<or>Forskningsdata BOX-projektet 2009-2012		translate_PROJ
sample_project_code		PROJ DIAMIX	DMX	PROJ DIAMIX	DIAMIX	DIAMIX-PROJ.<or>DMX<or>PROJ_DIAMIX		translate_PROJ
sample_project_code		PROJ DNA-streckkodning av marina växtplankton	DNA	PROJ DNA-streckkodning av marina växtplankton	DNA-metabarcoding of marine phytoplankton	DNA-streckkodning<or>PROJ_DNA		translate_PROJ
sample_project_code		PROJ Eg östersjön pelagial mätkampanj	OPM	PROJ Eg östersjön pelagial mätkampanj	Sampling campaign pelagic 2010  Baltic Proper	MÄTKAMP. PELAG. 2010 NORRA ÖSTERSJ.<or>PROJ_Eg_östersjön_pelagial_mätkampanj		translate_PROJ
sample_project_code		PROJ Enningsdalsälven INTERREG	ENN	PROJ Enningsdalsälven INTERREG	Interregproject Enningdalsälven	INTERREG ENNINGDALSÄLVEN<or>PROJ_Enningsdalsälven_INTERREG		translate_PROJ
sample_project_code		PROJ Ferrybox Transpaper och Color Fantasy	TRA	PROJ Ferrybox Transpaper och Color Fantasy	Ferrybox Transpaper and Color Fantasy	VÄXTPL. FERRYB.<or>PROJ_Ferrybox_Transpaper<or>PROJ Transpaper<or>TRANSPAPER<or>Transpaper<or>PROJ_Transpaper<or>PROJ Ferrybox Transpaper<or>PROJ Ferrybox ColorFantasy		translate_PROJ
sample_project_code		PROJ Gotland pelagial mätkampanj	GPM	PROJ Gotland pelagial mätkampanj	Sampling campaign pelagic 2010  County Administration Board of Gotland	MÄTKAMP. PELAG. 2010<or>PROJ_Gotland_pelagial_mätkampanj		translate_PROJ
sample_project_code		PROJ Gotlands grunda vikar	GGV	PROJ Gotlands grunda vikar	Gotlands shallow bays	Lst Gotland & NV<or>PROJ_Gotlands_grunda_vikar		translate_PROJ
sample_project_code		PROJ Grunda vikar	GVI	PROJ Grunda vikar	Shallow bays	Basinventering av skyddade grunda marina miljöer, Västerbottens län<or>Basinventering i Blekinge Län<or>Basinventering av grunda marina områden i AB län<or>Basinventering av grunda marina områden i AB län 2008<or>Basinventering_BD<or>Naturvärdesinventering_BD<or>Regional miljöövervakning D-län 2004<or>Regional miljöövervakning D-län 2006<or>Regional miljöövervakning D-län 2007<or>Regional miljöövervakning D-län 2008<or>Regional miljöövervakning D-län 2005<or>Basinventeringen i Östergötlands län 2008<or>Basinventeringen i Östergötland 2005<or>Basinventering Gotlands län<or>Mellanårsvariationer av undervattensvegetation i Blekinge<or>Inventering av vegetation i grunda vikar i Blekinge<or>Uppföljningstest i Blekinge 2007<or>Basinventering i Skåne län<or>Interreg IIIA<or>Utvecklingsprojekt RegMÖ<or>Tidsserie Forsmark och Furusund<or>Basinventering C-län<or>Naturvärden vid Gårdskärskusten och Slada<or>Gräsö marina reservat<or>Lövstabukten, Tierps kommun<or>Regional MÖ X-län (X21)<or>Basinventering X-län<or>Regional MÖ X-län<or>Undersökning av mellansårsvariation i undervattensvegetation i grunda vikar<or>Basinventeringen i Kalmar Län<or>Mellanårsvariationer i undervattensvegetation och fiskyngelförekomst i grunda havsvikar längs den svenska kusten<or>Marin basinventering Västernorrland		translate_PROJ
sample_project_code		PROJ Gårdskärskusten	GSK	PROJ Gårdskärskusten	Inventory of epibenthic fauna in the Uppsala county coast of Gårdskär			translate_PROJ
sample_project_code		PROJ Göteborg säkrare farled	GSF	PROJ Göteborg säkrare farled	Gothenburg Port safe fairway	GÖTEB. SÄK. FARLED.<or>PROJ_Göteborg_säkrare_farled		translate_PROJ
sample_project_code		PROJ HABILE	HAB	PROJ HABILE	Harmful Algae Bloom Initiation in Large European Marine Ecosystems (HABILE)	HABILE<or>PROJ_HABILE		translate_PROJ
sample_project_code		PROJ Haparanda dykinventering	HAP	PROJ Haparanda dykinventering	Dive transect inventories in Haparanda			translate_PROJ
sample_project_code		PROJ Inventering av marin epibentisk fauna i grunda vikar i Höga kusten	IEH	PROJ Inventering av marin epibentisk fauna i grunda vikar i Höga kusten	Inventory marine epibenthic fauna in shallow bays in Höga kusten	Inventering av marin epibentisk fauna i grunda vikar i Höga kusten<or>PROJ grunda vikar Höga kusten		translate_PROJ
sample_project_code		PROJ Inventering av makrofyter på havsbottnar i Västerbotten 	IMV	PROJ Inventering av makrofyter på havsbottnar i Västerbotten 	Inventory of bottom-living macrophytes in Västerbotten county			translate_PROJ
sample_project_code		PROJ Inventering Gävleborg	IGA	PROJ Inventering Gävleborg	Inventory Gävleborg	Hårdbotteninventering Gävleborg 2000<or>Hårdbotteninventering Gävleborg 2005<or>Hårdbotteninventering Gävleborg 2006<or>Hårdbotteninventering Gävleborg 2007		translate_PROJ
sample_project_code		PROJ Inventering av marin epibentisk fauna på djupa bottnar	IME	PROJ Inventering av marin epibentisk fauna på djupa bottnar	Inventory deep marine epibenthic fauna			translate_PROJ
sample_project_code		PROJ Inventering av epibentiska fauna i Västerhavet	IEV	PROJ Inventering av epibentiska fauna i Västerhavet	Inventory of epibenthic fauna in the Kattegatt and Skagerrak seas			translate_PROJ
sample_project_code		PROJ Inventering naturvärden Flakskär- Kållefjärden	NFK	PROJ Inventering naturvärden Flakskär- Kållefjärden	Inventory Flakskar-Kallefjarden			translate_PROJ
sample_project_code		PROJ Inventering  naturvärden  Järkö-Ornö och Uttorp	JOU	PROJ Inventering  naturvärden  Järkö-Ornö och Uttorp	Inventory Jarko-Orno and Uttorp			translate_PROJ
sample_project_code		PROJ Inventering ROV Koster-Väderöfjorden	IKV	PROJ Inventering ROV Koster-Väderöfjorden	Inventory Koster	Inventering med ROV av epibottenfauna i nya bottenskyddsområden i Koster-Väderöfjorden<or>Inventering med ROV av epibottenfauna för uppföljning av effekterna av trålskyddsområden i Koster-Väderöfjorden<or>RKO		translate_PROJ
sample_project_code		PROJ JERICO	JCO	PROJ JERICO	Joint European research infrastructure network for coastal observatories (JERICO)	PROJ_JERICO		translate_PROJ
sample_project_code		PROJ Kartering Hoburgs bank	KHB	PROJ Kartering Hoburgs bank	Mapping Hoburgs bank			translate_PROJ
sample_project_code		PROJ Kartering rev sandbankar Skåne	KRS	PROJ Kartering rev sandbankar Skåne	Mapping_reef_sandbanks_Skåne	Kartering marin miljö Skånes Län / Kartering Rev sandbankar del1<or>Kartering_rev_sandbankar_Skåne<or>Kartering rev sandbankar Skåne<or>MMSB, Lst Skåne, kartering av bottenfauna och -flora i Skåne Län, Kartering Rev+Sandbankar		translate_PROJ
sample_project_code		PROJ Kontrollprogram SLV musselodlingar	KSL	PROJ Kontrollprogram SLV musselodlingar	Monitoring program SLV mussel farms	SLV<or>SLV. KONT. PROG		translate_PROJ
sample_project_code		PROJ Kyrkviken ekologisk status	KES	PROJ Kyrkviken ekologisk status	Kyrkviken ecological status	Kyrkviken ekologisk status<or>Kyrkviken ekologisk status 2021		translate_PROJ
sample_project_code		PROJ Laholm eutrofieringsprojekt	LEP	PROJ Laholm eutrofieringsprojekt	Laholm Eutrophication Project	LAH. EUTR. STU.<or>PROJ_Laholm_eutrophication_project		translate_PROJ
