field	filter	public_value	code	swedish	english	synonyms	comments	source
method_reference_code		AEPAM11	AEPAM11	CEFAS Science Series Aquatic Environment Protection: Analytical Methods Number 11. Methods for analysis for trace metals in marine and other samples. MAFF 1994	CEFAS Science Series Aquatic Environment Protection: Analytical Methods Number 11. Methods for analysis for trace metals in marine and other samples. MAFF 1994			translate_REFSK
method_reference_code		DNASMHI	DNASMHI	DNA extraktionsmetod för streckkodning av plankton med Zymobiomics DNA minipreo kit (Zymo Research; D4300) https://www.protocols.io/view/dna-extraction-protocol-for-plankton-barcoding-usi-bucjnsun	DNA extraction protocol for plankton barcoding using Zymobiomics DNA minprep kit (Zymo Research; D4300) https://www.protocols.io/view/dna-extraction-protocol-for-plankton-barcoding-usi-bucjnsun			translate_REFSK
method_reference_code		UVEG	UVEG	Manual för basinventering av marina habitat (1150, 1160 och 1650). Metoder för kartering av undervattensvegetation. G Johansson och J Persson. Version 5. 2007-03-29.	Manual för basinventering av marina habitat (1150, 1160 och 1650). Metoder för kartering av undervattensvegetation. G Johansson och J Persson. Version 5. 2007-03-29.			translate_REFSK
method_reference_code		EPA 6020	EPA 6020	EPA - Induktivt kopplad plasma - Masspektrometri	EPA - Inductively Coupled Plasma - Mass Spectrometry			translate_REFSK
method_reference_code		HC-B-B8	HC-B-B8	Helcom COMBINE Manual - Part B Annex B-8	Guidelines for determination of salinity and temperature using CTD			translate_REFSK
method_reference_code		HC-C-C2	HC-C-C2	Helcom COMBINE Manual - Part C Annex C2	Helcom COMBINE Manual - Part C Annex C2			translate_REFSK
method_reference_code		HC-C-C4	HC-C-C4	Helcom COMBINE Manual - Part C Annex C4	Helcom COMBINE Manual - Part C Annex C4			translate_REFSK
method_reference_code		HC-C-C5	HC-C-C5	Helcom COMBINE Manual - Part C Annex C5	Helcom COMBINE Manual - Part C Annex C5			translate_REFSK
method_reference_code		HC-C-C6	HC-C-C6	Helcom COMBINE Manual - Part C Annex C6	Helcom COMBINE Manual - Part C Annex C6			translate_REFSK
method_reference_code		HC-C-C7	HC-C-C7	Helcom COMBINE Manual - Part C Annex C7	Helcom COMBINE Manual - Part C Annex C7	HC - C - C7		translate_REFSK
method_reference_code		HC-C-C8	HC-C-C8	Helcom COMBINE Manual - Part C Annex C8	Helcom COMBINE Manual - Part C Annex C8			translate_REFSK
method_reference_code		HC-C-C9	HC-C-C9	Helcom COMBINE Manual - Part C Annex C9	Helcom COMBINE Manual - Part C Annex C9			translate_REFSK
method_reference_code		HC-C-C11	HC-C-C11	Helcom COMBINE Manual - Part C Annex C11	Helcom COMBINE Manual - Part C Annex C11			translate_REFSK
method_reference_code		HC-D	HC-D	Helcom COMBINE Manual - Part D	Helcom COMBINE Manual - Part D	HCD		translate_REFSK
