field	filter	public_value	code	swedish	english	synonyms	comments	ices_biology	ices_physical_and_chemical	source
platform_code		7719	7719	Leverantör (SMHI)	Supplier (SMHI)					translate_SHIPC
platform_code		7740	7740	Kustbevakningens fartyg (SMHI)	Coast Guard Vessels (SMHI)	40				translate_SHIPC
platform_code		7768	7768	Andrea (SMHI)	Andrea (SMHI)					translate_SHIPC
platform_code		7774	7774	Scoter (SMHI)	Scoter (SMHI)	74		AA15		translate_SHIPC
platform_code		7775	7775	Sigurd Golje (SMHI)	Sigurd Golje (SMHI)					translate_SHIPC
platform_code		7780	7780	SMHI-Aranda (SMHI)	SMHI-Aranda (SMHI)	80				translate_SHIPC
platform_code		7782	7782	Farstugrunden (SMHI)	Farstugrunden (SMHI)					translate_SHIPC
platform_code		7783	7783	Bohuskust-8689 (SMHI)	Bohuskust-8689 (SMHI)	83				translate_SHIPC
platform_code		7784	7784	Brofjorden (SMHI)	Brofjorden (SMHI)					translate_SHIPC
platform_code		7785	7785	Läsö Nord/Trindel (SMHI)	Läsö Nord/Trindel (SMHI)					translate_SHIPC
platform_code		7786	7786	Svensk-USSR-expeditioner (SMHI)	Swedish-USSR Expeditions (SMHI)					translate_SHIPC
platform_code		7788	7788	Trindeln (SMHI)	Trindeln (SMHI)	88				translate_SHIPC
platform_code		7790	7790	FLERA FARTYG (ICES)	MULTIPLE SHIPS (ICES)			AA30		translate_SHIPC
platform_code		7791	7791	UMF 001 (SMHI)	UMF 001 (SMHI)			AA33		translate_SHIPC
platform_code		7792	7792	UMF 206 (Spårfordon) (SMHI)	UMF 206 (Track vehicle) (SMHI)					translate_SHIPC
platform_code		7796	7796	SLV (SMHI)	SLV (SMHI)	96				translate_SHIPC
platform_code		7797	7797	Nya Varvet (SMHI)	Nya Varvet (SMHI)					translate_SHIPC
platform_code		ZZ99	ZZ99	OKÄNT (ICES)	UNKNOWN (ICES)	AA30<or>UN<or>7798<or>7799<or>77SO<or>98<or>AA30<or>UN		AA30		translate_SHIPC
platform_code		26DA	26DA	Dana (ICES)	Dana (ICES)					translate_SHIPC
platform_code		26YT	26YT	M/V Tender (ICES)	M/V Tender (ICES)					translate_SHIPC
platform_code		34AR	34AR	Aranda (ICES)	Aranda (ICES)	3401<or>34A3				translate_SHIPC
platform_code		347V	347V	MERI (ICES)	MERI (ICES)					translate_SHIPC
platform_code		34EB	34EB	AURI (ICES)	AURI (ICES)					translate_SHIPC
platform_code		771A	771A	SYGIN (ICES)	SYGIN (ICES)					translate_SHIPC
platform_code		773A	773A	ANTARCTIC (ICES)	ANTARCTIC (ICES)					translate_SHIPC
platform_code		77A2	77A2	ANTARCTIC (ICES)	ANTARCTIC (ICES)					translate_SHIPC
platform_code		77AA	77AA	Atle (ICES)	Atle (ICES)					translate_SHIPC
platform_code		77AB	77AB	ALBANIA (ICES)	ALBANIA (ICES)					translate_SHIPC
platform_code		77AC	77AC	ANNIE JOHNSON (ICES)	ANNIE JOHNSON (ICES)					translate_SHIPC
platform_code		77AD	77AD	ANTONIA JOHNSON (ICES)	ANTONIA JOHNSON (ICES)					translate_SHIPC
platform_code		77AE	77AE	AXEL JOHNSON (ICES)	AXEL JOHNSON (ICES)					translate_SHIPC
platform_code		58CO	58CO	COLOR FANTASY (ICES)	COLOR FANTASY (ICES)					translate_SHIPC
platform_code		77AF	77AF	MARGARET JOHNSON (ICES)	MARGARET JOHNSON (ICES)					translate_SHIPC
platform_code		77AG	77AG	AGNE (ICES)	AGNE (ICES)					translate_SHIPC
platform_code		77AH	77AH	ERONA (ICES)	ERONA (ICES)					translate_SHIPC
platform_code		77AI	77AI	SAN FRANCISCO (ICES)	SAN FRANCISCO (ICES)					translate_SHIPC
platform_code		77AJ	77AJ	SAXEN (ICES)	SAXEN (ICES)					translate_SHIPC
platform_code		77AK	77AK	TV04 (ICES)	TV04 (ICES)					translate_SHIPC
platform_code		77AL	77AL	ALBATROSS (ICES)	ALBATROSS (ICES)					translate_SHIPC
platform_code		77AM	77AM	TV044 (ICES)	TV044 (ICES)					translate_SHIPC
platform_code		77AN	77AN	TV103 (ICES)	TV103 (ICES)					translate_SHIPC
platform_code		77AO	77AO	ARCONA (ICES)	ARCONA (ICES)					translate_SHIPC
platform_code		77AP	77AP	TV105 (ICES)	TV105 (ICES)					translate_SHIPC
platform_code		77AQ	77AQ	TV171 (ICES)	TV171 (ICES)					translate_SHIPC
platform_code		77AR	77AR	ARGOS (ICES)	ARGOS (ICES)	14				translate_SHIPC
platform_code		77AS	77AS	TV227 (ICES)	TV227 (ICES)					translate_SHIPC
platform_code		77AT	77AT	TV241 (ICES)	TV241 (ICES)					translate_SHIPC
platform_code		77AU	77AU	TV243 (ICES)	TV243 (ICES)					translate_SHIPC
platform_code		77AV	77AV	TV245 (ICES)	TV245 (ICES)					translate_SHIPC
platform_code		77AW	77AW	TV246 (ICES)	TV246 (ICES)					translate_SHIPC
platform_code		77AX	77AX	TV248 (ICES)	TV248 (ICES)					translate_SHIPC
platform_code		77AY	77AY	TV249 (ICES)	TV249 (ICES)					translate_SHIPC
platform_code		77AZ	77AZ	TV257 (ICES)	TV257 (ICES)					translate_SHIPC
platform_code		77BA	77BA	TV260 (ICES)	TV260 (ICES)					translate_SHIPC
platform_code		77BB	77BB	TV271 (ICES)	TV271 (ICES)					translate_SHIPC
platform_code		77BC	77BC	TV273 (ICES)	TV273 (ICES)					translate_SHIPC
