field	filter	public_value	code	swedish	english	synonyms	comments	source
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2007	PEG_BVOL2007	Biovolymer och storleksklasser av växtplankton i Östersjön - 2007 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2007 version	PEG_BIOVOL2007		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2008	PEG_BVOL2008	Biovolymer och storleksklasser av växtplankton i Östersjön - 2008 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2008 version	PEG_BIOVOL2008<or>PEG_BVOL_2008		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2009	PEG_BVOL2009	Biovolymer och storleksklasser av växtplankton i Östersjön - 2009 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2009 version	PEG_BIOVOL2009		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2010	PEG_BVOL2010	Biovolymer och storleksklasser av växtplankton i Östersjön - 2010 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2010 version	PEG_BIOVOL2010		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2011	PEG_BVOL2011	Biovolymer och storleksklasser av växtplankton i Östersjön - 2011 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2011 version	PEG_BIOVOL2011<or>PEB_BIOVOL2011		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2012	PEG_BVOL2012	Biovolymer och storleksklasser av växtplankton i Östersjön - 2012 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2012 version	PEG_BIOVOL2012		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2013	PEG_BVOL2013	Biovolymer och storleksklasser av växtplankton i Östersjön - 2013 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2013 version	PEG_BIOVOL2013		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2014	PEG_BVOL2014	Biovolymer och storleksklasser av växtplankton i Östersjön - 2014 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2014 version	PEG_BIOVOL2014		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2015	PEG_BVOL2015	Biovolymer och storleksklasser av växtplankton i Östersjön - 2015 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2015 version	PEGVOL2015		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2016	PEG_BVOL2016	Biovolymer och storleksklasser av växtplankton i Östersjön - 2016 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2016 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2017	PEG_BVOL2017	Biovolymer och storleksklasser av växtplankton i Östersjön - 2017 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2017 version	PEGBVOL_2017		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2018	PEG_BVOL2018	Biovolymer och storleksklasser av växtplankton i Östersjön - 2018 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2018 version	PEG_2018		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2019	PEG_BVOL2019	Biovolymer och storleksklasser av växtplankton i Östersjön - 2019 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2019 version	bvol_helcom_peg_version_2019<or>PEGBVOL_2019		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2020	PEG_BVOL2020	Biovolymer och storleksklasser av växtplankton i Östersjön - 2020 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2020 version	bvol_helcom_peg_version_2020		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2021	PEG_BVOL2021	Biovolymer och storleksklasser av växtplankton i Östersjön - 2021 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2021 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2022	PEG_BVOL2022	Biovolymer och storleksklasser av växtplankton i Östersjön - 2022 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2022 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	PEG_BVOL2023	PEG_BVOL2023	Biovolymer och storleksklasser av växtplankton i Östersjön - 2023 version	Biovolumes and Size-classes of Phytoplankton in the Baltic Sea - 2023 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2007	SMHI_BVOL2007	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2007 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2007 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2008	SMHI_BVOL2008	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2008 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2008 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2009	SMHI_BVOL2009	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2009 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2009 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2010	SMHI_BVOL2010	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2010 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2010 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2011	SMHI_BVOL2011	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2011 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2011 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2012	SMHI_BVOL2012	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2012 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2012 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2013	SMHI_BVOL2013	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2013 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2013 version	SMHI_BVOL_2013<or>SMHI_BIOVOL2013		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2014	SMHI_BVOL2014	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2014 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2014 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2015	SMHI_BVOL2015	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2015 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2015 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2016	SMHI_BVOL2016	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2016 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2016 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2017	SMHI_BVOL2017	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2017 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2017 version	SMHIBVOL_2017		translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2018	SMHI_BVOL2018	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2018 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2018 version			translate_SIZRF
size_class_ref_list_code	delivery_datatype=Phytoplankton,Picoplankton	SMHI_BVOL2019	SMHI_BVOL2019	Biovolymer och storleksklasser av växtplankton i Skagerrak och Kattegatt - 2019 version	Biovolumes and Size-classes of Phytoplankton in the Skagerrak and Kattegat - 2019 version	bvol_smhi_peg_version_2019		translate_SIZRF
