field	filter	public_value	code	swedish	english	synonyms	comments	source
sampler_type_code		AQU	AQU	Vattenkikare	Aquascope	AQSC		translate_SMTYP
sampler_type_code		AD	AD	Anchor dredge	Anchor dredge			translate_SMTYP
sampler_type_code		AGT	AGT	Agassiz-trål	Agassiz trawl			translate_SMTYP
sampler_type_code		ASK	ASK	Askö gravitationshuggare	Askö gravity corer			translate_SMTYP
sampler_type_code		ASV	ASV	Flygövervakning	Aerial surveillance			translate_SMTYP
sampler_type_code		BC	BC	Box-corer	Box-corer			translate_SMTYP
sampler_type_code		BGN	BGN	Bongonät	Bongo net			translate_SMTYP
sampler_type_code		BO	BO	Boillot dredge	Boillot dredge			translate_SMTYP
sampler_type_code		BOT	BOT	Bottentrål	Bottom trawl			translate_SMTYP
sampler_type_code		BR	BR	Bogorov-Rass-nät	Bogorov-Rass net			translate_SMTYP
sampler_type_code		CH	CH	Charcot dredge	Charcot dredge			translate_SMTYP
sampler_type_code		CPOD	CPOD	C-POD	C-POD			translate_SMTYP
sampler_type_code		CM	CM	Kameramonterad corer	Camera mounted corer			translate_SMTYP
sampler_type_code		DA	DA	Day grab	Day grab			translate_SMTYP
sampler_type_code		DC	DC	Dykardriven corer	Diver-operated corer			translate_SMTYP
sampler_type_code		DD	DD	Borranordning	Drilling device			translate_SMTYP
sampler_type_code		DIV	DIV	Dykare-samlad	Diver collected			translate_SMTYP
sampler_type_code		DROP	DROP	Fallfälla	Drop trap			translate_SMTYP
sampler_type_code		DTR	DTR	Dyktransekt	Diving transects			translate_SMTYP
sampler_type_code		EK	EK	Ekmanhuggare	Ekman grab			translate_SMTYP
sampler_type_code		EN	EN	Endoume-muddra	Endoume dredge			translate_SMTYP
sampler_type_code		FBW	FBW	Ferry box vattenprovtagare	Ferry box water sampler			translate_SMTYP
sampler_type_code		FRAMENET	FRAMENET	Ram med nätuppsamlare för epibentiska prover	Frame with net collector for epibenthic samples	RamSkrap<or>RSKRAP<or>RAMSKRAP		translate_SMTYP
sampler_type_code		GC	GC	Gravitationshuggare	Gravity corer			translate_SMTYP
sampler_type_code		GE	GE	Gemini-huggare	Gemini corer			translate_SMTYP
