field	filter	public_value	code	swedish	english	synonyms	ices_biology	ices_physical_and_chemical	bodc_nerc	darwincore	comments	source	edmo	ices	nerc_name	nerc_id
#value	parameter=Abundance class	1	1	Påvisad	Observed							translate_ABUND_CLASS				
#value	parameter=Abundance class	2	2	Flera celler	Several cells							translate_ABUND_CLASS				
#value	parameter=Abundance class	3	3	1-10%	1-10%							translate_ABUND_CLASS				
#value	parameter=Abundance class	4	4	10-50%	10-50%							translate_ABUND_CLASS				
#value	parameter=Abundance class	5	5	50-100%	50-100%							translate_ABUND_CLASS				
#value	parameter=Abundance class	1ROV	1ROV	1-3 individer	1-3 individuals							translate_ABUND_CLASS				
#value	parameter=Abundance class	2ROV	2ROV	4-15 individer	4-15 individuals							translate_ABUND_CLASS				
#value	parameter=Abundance class	4ROV	4ROV	16-100 individer 	16-100 individuals							translate_ABUND_CLASS				
#value	parameter=Abundance class	8ROV	8ROV	Taxa som helt dominerar någon bit av transekten	Taxa that totaly dominates the transect							translate_ABUND_CLASS				
calculation_method		F	F	Flödesmätaravläsning	Flowmeter reading							translate_CLMET				
calculation_method		H	H	Draglängd	Haul length							translate_CLMET				
cloud_observation_code		0	0	Inga moln	No clouds	0/8<or>0/0<or>0/8, sol<or>0/8 - 0/3						translate_CLOUD				
cloud_observation_code		1	1	1/8 eller mindre, men ej noll	1/8 or less, but not zero	sol<or>enstaka tussar<or>enstaka moln						translate_CLOUD				
cloud_observation_code		2	2	2/8	2/8	lite moln<or>soligt med lätta moln<or>Lite moln<or>lite tunna moln						translate_CLOUD				
cloud_observation_code		3	3	3/8	3/8	0/8 - 4/8						translate_CLOUD				
cloud_observation_code		4	4	4/8	4/8	4/8 - 5/8<or>växlande molnighet						translate_CLOUD				
cloud_observation_code		5	5	5/8	5/8							translate_CLOUD				
cloud_observation_code		6	6	6/8	6/8							translate_CLOUD				
cloud_observation_code		7	7	7/8 eller mer, men ej 8/8	7/8 or more, but not 8/8	Start Mulet, stop sol med spridda moln<or>8/8 - 6/8						translate_CLOUD				
cloud_observation_code		8	8	8/8	8/8	moln<or>Mulet, disigt, 5°C<or>Mulet<or>helt molnigt<or>Grådisigt, 5°C<or>Mulet och mörkt<or>molnigt<or>heltäckande<or>8, 2						translate_CLOUD				
cloud_observation_code		9	9	Ej observerad	Not observed	1/8 - 8/8<or>0/8 - 8/8<or>0/8 - 7/8<or>8/8 - 0/8<or>8/8 - -> 0/8<or>1/8 -->8/8<or>God sikt						translate_CLOUD				
cloud_observation_code		10	10	Växlande	Baffling	växlande<or>mulet med regn på morgonen, sol vid lunch<or>2/8 - 8/8<or>start: mulet 5°C, stopp: sol 7°C<or>8/8 - 4/8						translate_CLOUD				
#NOT_DEFINED_CNTRY		77	77	Sverige	Sweden							translate_CNTRY				
#NOT_DEFINED_CNTRY		26	26	Danmark	Denmark							translate_CNTRY				
#NOT_DEFINED_CNTRY		34	34	Finland	Finland							translate_CNTRY				
#NOT_DEFINED_COV_EST	delivery_datatype=Epibenthos	1	1	Enstaka exemplar (Upp till 5% täckning)	Isolated specimen (Up to 5% cover)						Grunda	translate_COV_EST				
#NOT_DEFINED_COV_EST	delivery_datatype=Epibenthos	2	2	Sparsam, ganska vanlig (ca 5 till 20%)	More or less common (aproximatly 5 to 20%)						Grunda	translate_COV_EST				
#NOT_DEFINED_COV_EST	delivery_datatype=Epibenthos	3	3	Vanlig (20 till 70%)	Common (20 till 70%)						Grunda	translate_COV_EST				
#NOT_DEFINED_COV_EST	delivery_datatype=Epibenthos	4	4	Dominerande (mer än 70%)	Dominating (more than 70%)						Grunda	translate_COV_EST				
sediment_deposition_code		1	1	Ingen sedimentpålagring	No sediment cover							translate_DEPOS				
sediment_deposition_code		2	2	Liten sedimentpålagring	Small sediment cover							translate_DEPOS				
